priority,serp_group,queries,current_or_new,decision,hub,proposed_url,proposed_title,proposed_h1,cta,dataforseo_evidence,search_console_evidence,unique_content_or_proof_required,risk,confidence
P1,G1-core-custom-kitchen,"virtuves pēc pasūtījuma; virtuve pēc pasūtījuma; virtuves uz pasūtījumu; virtuves mēbeles pēc pasūtījuma; virtuves iekārtas pēc pasūtījuma",existing page,merge and improve,Sākumlapa,/,Virtuves pēc pasūtījuma — projektēšana izgatavošana un uzstādīšana,Virtuves pēc pasūtījuma jūsu telpai un ikdienai,Pieteikt konsultāciju,"All five transactional and volume 90; provider-dominated SERPs; singular/plural overlap 7/10 URLs",not available,"Complete offer; decision path; process; verified service coverage; project proof when available","High cannibalization with existing virtuves-iekartas-pec-pasutijuma page",high
P2,G2-manufacture,"virtuves izgatavošana; virtuves iekārtas izgatavošana; virtuves mēbeļu izgatavošana; virtuves izgatavošana un uzstādīšana",existing page,improve,Pakalpojumi,/pakalpojumi/virtuves-izgatavosana/,Virtuves izgatavošana pēc individuāla projekta,Virtuves izgatavošana no saskaņota projekta līdz uzstādīšanai,Pieteikt konsultāciju,"Primary volume 90; two supporting terms 70; mixed manufacturing SERPs; primary overlaps core only 4/10 URLs",not available,"Verified manufacturing workflow inputs handoffs checks and installation preparation","Moderate overlap if generic",high
P3,G3-built-in,"iebūvējamās virtuves; iebūvējamās virtuves iekārtas",existing page,improve,Pakalpojumi,/pakalpojumi/iebuvetas-virtuves/,Iebūvējamās virtuves pēc individuāliem izmēriem,Iebūvējamā virtuve kas pielāgota telpai,Pieteikt konsultāciju,"Both volume 70; custom providers mixed with marketplaces and retail categories",not available,"Exact-fit decisions appliance integration tall storage and utilities","Ambiguity with built-in appliances",high
P4,G4-price-quote,"iebūvējamās virtuves cenas; virtuves tāme; virtuves cenas aprēķins; cik maksā virtuves iekārta",existing page,merge and improve,Pakalpojumi,/pakalpojumi/virtuves-cenas/,Virtuves cenas un tāme — kas veido kopējo izmaksu,Kas veido virtuves pēc pasūtījuma cenu,Pieteikt konsultāciju,"Price primary volume 70 CPC €1.46 KD16; cik maksā volume 40; calculators and price pages dominate",not available,"Cost drivers estimate inputs and scope checklist; no invented price ranges","Expectation mismatch without exact price data",high
P5,G5-design-informational,virtuves dizains,new page,approve new guide,Ceļvedis,/celvedis/virtuves-dizains/,Virtuves dizains — kā saskaņot izskatu un funkcionalitāti,Virtuves dizains no idejas līdz pārdomātam risinājumam,Pieteikt konsultāciju,"Volume 320 CPC €0.83; visual and informational SERP distinct from project service",not available,"Substantial visual decision guide examples checklist and contextual conversion path","Thin or sales-led content would miss intent",high
P6,G6-project-planning,"virtuves projektēšana; virtuves konsultācija",existing page,retarget and improve,Pakalpojumi,/pakalpojumi/virtuves-dizains-un-projektesana/,Virtuves projektēšana un konsultācija,Virtuves projektēšana pirms izgatavošanas,Pieteikt konsultāciju,"Project term volume 20 CPC €1.25; commercial service intent stronger than design; consultation mixed",not available,"Measurements workflow project decisions and verified outputs","Current title overlaps design guide",high
P7,G7-planning-informational,"virtuves plānošana; funkcionāls virtuves plānojums",existing page,merge and improve,Pakalpojumi,/pakalpojumi/virtuves-planosana/,Virtuves plānošana un funkcionāls plānojums,Virtuves plānošana ērtai ikdienai,Pieteikt konsultāciju,"Planning volume 50; advice dominates; separate informational need",not available,"Work zones movement storage clearances utilities and checklist","Cannibalization if it duplicates project-service output",high
P8,G12-island,"virtuve ar salu; virtuve ar pussalu",existing page,improve and merge peninsula section,Pakalpojumi,/pakalpojumi/virtuves-ar-salu/,Virtuve ar salu vai pussalu — plānošanas nosacījumi,Virtuve ar salu pēc individuāla plāna,Pieteikt konsultāciju,"virtuve ar salu volume 10 with mixed project/service intent; peninsula sparse informational",not available,"Space movement utilities seating storage and island-versus-peninsula framework","Do not target retail noun-only virtuves sala",medium-high
defer,G8-consultation,virtuves konsultācija,section,merge into project page,Pakalpojumi,/pakalpojumi/virtuves-dizains-un-projektesana/,Not separate,Not separate,Pieteikt konsultāciju,"Mixed consultation SERP and no overview row",not available,"Consultation inputs and next step","Thin standalone page",medium
reject,G9-installation,"virtuves piegāde un uzstādīšana; virtuves uzstādīšanas cena",existing coverage only,reject as acquisition target,Pakalpojumi,/pakalpojumi/virtuves-uzstadisana/,Not retargeted,Not retargeted,Pieteikt konsultāciju,"Retail logistics appliance installation and installation-only trades dominate",not available,"Only verified full-project installation scope","Business-intent mismatch",high
defer,G10-corner-L,"stūra virtuves; L veida virtuve",existing page,keep outside pilot,Pakalpojumi,/pakalpojumi/stura-un-l-veida-virtuves/,Existing,Existing,Pieteikt konsultāciju,"stūra virtuves volume 70 but retail/product dominated; L intent mixed",not available,"Custom layout decision content","Retail contamination",medium
reject,G11-U-layout,U veida virtuve,section,reject new page,Pakalpojumi,/pakalpojumi/stura-un-l-veida-virtuves/,Not separate,Not separate,Pieteikt konsultāciju,"Informational and retail results dominate; no clear service pattern",not available,"Optional comparison section","Thin page",high
reject,G13-island-retail,virtuves sala,none,reject,None,None,None,None,None,"Volume 320 but overwhelmingly ecommerce and product intent",not available,None,"Direct business mismatch",high
defer,G14-peninsula,virtuve ar pussalu,section,merge into island page,Pakalpojumi,/pakalpojumi/virtuves-ar-salu/,Not separate,Not separate,Pieteikt konsultāciju,"Sparse informational/social SERP",not available,"Comparison section","No stable service pattern",high
reject,G15-linear-ambiguous,vienas sienas virtuve,section,reject new page,Pakalpojumi,relevant layout page,Not separate,Not separate,Pieteikt konsultāciju,"Google interprets sienas ambiguously as wall panels and decorating",not available,"Optional accurate section","Semantic mismatch",high
reject,G16-parallel-noisy,paralēla virtuve,section,reject new page,Pakalpojumi,relevant layout page,Not separate,Not separate,Pieteikt konsultāciju,"Low-quality and semantically noisy SERP",not available,"Optional accurate section","Unstable intent",high
reject,G17-galley-informational,gaiteņa tipa virtuve,section,reject new page,Pakalpojumi,/pakalpojumi/mazas-virtuves/,Not separate,Not separate,Pieteikt konsultāciju,"Mostly informational and loosely related results",not available,"Optional small-kitchen section","Weak commercial intent",high
defer,G18-small-apartment,virtuve mazam dzīvoklim,existing page,keep outside pilot,Pakalpojumi,/pakalpojumi/mazas-virtuves/,Existing,Existing,Pieteikt konsultāciju,"Informational and examples dominate; weak direct service intent",not available,"Small-space decisions and real project proof","Weak commercial intent",medium
defer,G19-hruscovka,virtuves iekārtas hruščovkām,section,merge into small-kitchen page,Pakalpojumi,/pakalpojumi/mazas-virtuves/,Not separate,Not separate,Pieteikt konsultāciju,"Volume 10; mixed articles retail and one full-cycle provider",not available,"Specific accurate section with proof when available","Thin doorway-style page",high
reject,G20-private-house,virtuve privātmājai,future section,reject new page now,Pakalpojumi,relevant page,Not proposed,Not proposed,Pieteikt konsultāciju,"Galleries dominate; no overview row",not available,"Real private-house project proof","Gallery/doorway risk",high
manual,G21-new-build,virtuve jaunbūvei,future section,manual review after pilot,Pakalpojumi,relevant page,Not proposed,Not proposed,Pieteikt konsultāciju,"Providers dominate but modifier rarely targeted and no overview row",not available,"New-build-specific decisions and real proof","No measurable-demand row",medium
merge,G22-open-plan,atvērta plānojuma virtuve,section,merge into planning page,Pakalpojumi,/pakalpojumi/virtuves-planosana/,Not separate,Not separate,Pieteikt konsultāciju,"Informational intent dominates; limited direct service evidence",not available,"Planning section","Thin standalone page",high
manual,G23-Riga-core,virtuves pēc pasūtījuma Rīga,existing page,preserve but do not multiply,Pilsētas,/pilsetas/virtuves-iekarta-riga/,Existing,Existing,Pieteikt konsultāciju,"Local pack but organic results overlap national core; no overview row",not available,"Genuine local utility and real local proof","Doorway risk across city pages",medium
