keyword,originating_seed,originating_competitor_domain_page,competitor_type,source_endpoint,resolved_location_name,resolved_location_code,resolved_language_name,resolved_language_code,search_volume,monthly_trend,CPC,paid_competition,paid_competition_level,organic_keyword_difficulty,detected_intent,current_domain_position,current_ranking_URL,business_fit_note,exclusion_flag,exclusion_reason,data_update_timestamp
virtuves pēc pasūtījuma,virtuves pēc pasūtījuma,virtuvesjums.lv; laurasmebeles.lv; alanmebeles.lv; srmebeles.lv; mkvirtuves.lv; up-mebeles.lv; rmebeles.lv; abvirtuves.lv; mebelesjums.lv; santasmebeles.lv; profurnitura.lv; 4istabas.lv; skandinavuvirtuves.lv; seldedze.lv; getapro.lv; abc.lv,mixed: direct custom-kitchen providers; marketplace; publisher,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty; SERP Organic Live Advanced,Latvia,2428,Latvian,lv,90.0,"{""2026-06"": 210, ""2026-05"": 110, ""2026-04"": 110, ""2026-03"": 90, ""2026-02"": 90, ""2026-01"": 70, ""2025-12"": 40, ""2025-11"": 40, ""2025-10"": 70, ""2025-09"": 50, ""2025-08"": 70, ""2025-07"": 50}",3.6,0.49,MEDIUM,,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-15 22:23:29 +00:00
virtuve pēc pasūtījuma,virtuve pēc pasūtījuma,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,90.0,"{""2026-06"": 210, ""2026-05"": 110, ""2026-04"": 110, ""2026-03"": 90, ""2026-02"": 90, ""2026-01"": 70, ""2025-12"": 40, ""2025-11"": 40, ""2025-10"": 70, ""2025-09"": 50, ""2025-08"": 70, ""2025-07"": 50}",3.6,0.49,MEDIUM,3.0,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-14 01:43:17 +00:00
virtuves mēbeles pēc pasūtījuma,virtuves mēbeles pēc pasūtījuma,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,90.0,"{""2026-06"": 90, ""2026-05"": 110, ""2026-04"": 110, ""2026-03"": 140, ""2026-02"": 140, ""2026-01"": 140, ""2025-12"": 70, ""2025-11"": 70, ""2025-10"": 110, ""2025-09"": 90, ""2025-08"": 70, ""2025-07"": 70}",2.07,0.6,MEDIUM,,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-13 07:25:37 +00:00
virtuves iekārtas pēc pasūtījuma,virtuves iekārtas pēc pasūtījuma,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,90.0,"{""2026-06"": 70, ""2026-05"": 110, ""2026-04"": 90, ""2026-03"": 140, ""2026-02"": 140, ""2026-01"": 110, ""2025-12"": 50, ""2025-11"": 70, ""2025-10"": 110, ""2025-09"": 90, ""2025-08"": 90, ""2025-07"": 70}",2.85,0.38,MEDIUM,,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-12 18:00:13 +00:00
virtuves izgatavošana,virtuves izgatavošana,santasmebeles.lv; laurasmebeles.lv; virtuvesjums.lv; mkvirtuves.lv; virtuvesdizains.lv; alanmebeles.lv; up-mebeles.lv; virtuves.lv; profurnitura.lv; seldedze.lv; rsmebeles.lv; idmebeles.lv; mebeles1.lv; gintaromebeles.lv; ripo.eu; getapro.lv; abc.lv,mixed: direct custom-kitchen providers; retailer; marketplace; publisher,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty; SERP Organic Live Advanced,Latvia,2428,Latvian,lv,90.0,"{""2026-06"": 90, ""2026-05"": 70, ""2026-04"": 50, ""2026-03"": 50, ""2026-02"": 70, ""2026-01"": 50, ""2025-12"": 70, ""2025-11"": 70, ""2025-10"": 90, ""2025-09"": 390, ""2025-08"": 40, ""2025-07"": 20}",0.94,0.73,HIGH,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-13 02:53:31 +00:00
iebūvējamās virtuves,iebūvējamās virtuves,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,70.0,"{""2026-06"": 40, ""2026-05"": 40, ""2026-04"": 50, ""2026-03"": 70, ""2026-02"": 50, ""2026-01"": 90, ""2025-12"": 50, ""2025-11"": 90, ""2025-10"": 90, ""2025-09"": 170, ""2025-08"": 70, ""2025-07"": 70}",0.71,0.7,HIGH,,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-16 04:37:48 +00:00
iebūvējamās virtuves iekārtas,iebūvējamās virtuves iekārtas,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,70.0,"{""2026-06"": 20, ""2026-05"": 10, ""2026-04"": 30, ""2026-03"": 50, ""2026-02"": 30, ""2026-01"": 70, ""2025-12"": 30, ""2025-11"": 40, ""2025-10"": 40, ""2025-09"": 390, ""2025-08"": 50, ""2025-07"": 50}",0.48,0.52,MEDIUM,,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-16 00:10:47 +00:00
virtuves cenas,virtuves cenas,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,50.0,"{""2026-06"": 30, ""2026-05"": 20, ""2026-04"": 10, ""2026-03"": 20, ""2026-02"": 20, ""2026-01"": 20, ""2025-12"": 30, ""2025-11"": 10, ""2025-10"": 40, ""2025-09"": 390, ""2025-08"": 10, ""2025-07"": 10}",0.38,0.33,LOW,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-11 15:31:53 +00:00
virtuves pēc pasūtījuma cenas,virtuves pēc pasūtījuma cenas,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
cik maksā virtuves iekārta,cik maksā virtuves iekārta,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,40.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 10, ""2026-03"": 20, ""2026-02"": 20, ""2026-01"": 20, ""2025-12"": 20, ""2025-11"": 20, ""2025-10"": 40, ""2025-09"": 260, ""2025-08"": 20, ""2025-07"": 20}",0.47,0.67,HIGH,,commercial,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-15 19:40:52 +00:00
