priority,url,primary_keyword,monthly_volume,supporting_keywords,intent,boundary
1,/,virtuves pēc pasūtījuma,90,"virtuve pēc pasūtījuma (90); virtuves pēc individuāla pasūtījuma (10)",Complete custom-kitchen service overview,"Owns broad end-to-end offer; links to every specialist page"
2,/virtuves-iekartas-pec-pasutijuma/,virtuves iekārtas pēc pasūtījuma,90,"virtuves iekārtas uz pasūtījumu (50); virtuves iekārtas pēc individuāla pasūtījuma (30)",Complete made-to-measure kitchen unit,"Describes the coordinated cabinet/worktop/fittings system; not manufacturing workflow"
3,/virtuves-izgatavosana/,virtuves izgatavošana,90,"virtuves iekārtas izgatavošana (70); virtuves iekārtas izgatavošana cenas (50)",Manufacturing and production,"Owns production sequence and quality-control questions"
4,/iebuvetas-virtuves/,iebūvējamās virtuves iekārtas,70,"iebūvējamas virtuves (70); iebūvējamā virtuve (70); iebūvētās virtuves (50)",Room-integrated kitchens,"Owns integration with walls niches heights and fixed constraints"
5,/virtuves-cenas/,iebūvējamās virtuves cenas,70,"virtuves cenas (50); cik maksā virtuves iekārta (40); virtuves pēc pasūtījuma cenas (20)",Cost and quote intent,"Owns price factors and verified examples; no fabricated figures"
6,/virtuves-dizains-un-projektesana/,virtuves interjera dizains,50,"virtuves projektēšana (20); virtuves projekts (50); virtuves iekārtas dizains (10)",Kitchen-specific design project,"Owns design development; excludes general interior design"
7,/virtuves-planosana/,virtuves iekārtojums,90,"virtuves iekārtošana (90); virtuves plāns (70); virtuves plānojums (70); virtuves plānošana (50)",Functional layout and ergonomics,"Owns work zones dimensions circulation and storage planning"
8,/virtuves-uzstadisana/,virtuves iekārtas uzstādīšana cena,40,virtuves uzstādīšana (10),Installation of manufactured kitchens,"Does not claim installation-only electrical or plumbing work"
9,/stura-un-l-veida-virtuves/,stūra virtuves iekārtas,210,"L veida virtuves iekārtas (90); stūra virtuves iekārtas komplekti (30)",Corner and L-shaped layout,"Owns corner access and two-wall layout problems"
10,/mazas-virtuves/,maza virtuves iekārta,140,,Small-space kitchen solutions,"Owns prioritisation and compact-space decisions"
11,/modernas-virtuves/,modernas virtuves,50,moderna virtuves iekārta (50),Modern kitchen style,"Owns modern visual language; not general interior page"
12,/virtuves-ar-salu/,virtuves saliņa,30,,Kitchen-island planning,"Owns island circulation function seating and utility considerations"
13,/virtuves-skapisi/,virtuves skapīši,1000,"virtuves stūra skapīši (70); virtuves stūra skapis (70); piekaramie virtuves skapīši (20)",Custom cabinet storage,"Owns cabinet types and internal organisation; excludes retail cabinet sales"
14,/virtuves-fasades/,virtuves fasādes,70,,Kitchen facade decisions,"Owns appearance proportion and care; no unverified brands"
15,/virtuves-furnitura/,virtuves furnitūra,110,virtuves furnitūra trauku žāvētava (10),Fittings and mechanisms,"Owns hardware selection by load and use; no unverified manufacturers"
16,/virtuves-interjers/,virtuves interjērs,70,"interjers virtuvei (90); virtuves interjers krāsas (10); dizaina virtuves (30)",Kitchen-only visual composition,"Owns color/material composition; excludes whole-home interior design"
