keyword,seed_keyword,source,source_endpoint,competitor_source,location,language,search_volume,monthly_trend,cpc,organic_difficulty,detected_intent,current_domain_position,current_ranking_url,top_10_domains,top_10_urls,serp_result_types,serp_similarity_group,serp_observation,data_updated_at
virtuves pēc pasūtījuma,virtuves pēc pasūtījuma,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty; SERP Organic Live Advanced,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),90,"{""monthly"":91,""quarterly"":91,""yearly"":320}",3.6,,transactional,,,"[""virtuvesjums.lv"",""laurasmebeles.lv"",""modernasmebeles.lv"",""getapro.lv"",""srmebeles.lv"",""mebelesjums.lv"",""alanmebeles.lv"",""up-mebeles.lv"",""mkvirtuves.lv"",""facebook.com""]","[""https://virtuvesjums.lv/"",""https://laurasmebeles.lv/"",""https://www.modernasmebeles.lv/blogs/kapec-izveleties-virtuves-mebeles-pec-pasutijuma"",""https://getapro.lv/category/virtuves-iekartas-pec-pasutijumu"",""https://srmebeles.lv/virtuves-mebeles-pec-pasutijuma/"",""https://mebelesjums.lv/"",""https://alanmebeles.lv/"",""https://up-mebeles.lv/virtuves-iekartas/"",""https://mkvirtuves.lv/"",""https://www.facebook.com/profurnitura/videos/virtuves-iek%C4%81rtas-un-m%C4%93beles-p%C4%93c-pas%C5%ABt%C4%ABjumapa%C5%A1u-ra%C5%BEo%C5%A1ana-projekt%C4%93%C5%A1ana-izgatavo%C5%A1a/1406448230077490/""]","[""service"",""service"",""article"",""marketplace"",""service"",""service"",""service"",""service"",""service"",""video"",""local_pack""]",G1-core-custom-kitchen,"Direct custom-kitchen service pages dominate; one marketplace, one article and a local pack also appear. Natural exact/close targeting is common in titles and URLs.",2026-07-29T14:00:00+00:00
virtuve pēc pasūtījuma,virtuve pēc pasūtījuma,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),90,"{""monthly"":91,""quarterly"":91,""yearly"":320}",3.6,3,transactional,,,"[""virtuvesjums.lv"",""laurasmebeles.lv"",""modernasmebeles.lv"",""seldedze.lv"",""alanmebeles.lv"",""up-mebeles.lv"",""srmebeles.lv"",""virtuvesskapisi.lv"",""getapro.lv"",""mkvirtuves.lv""]","[""https://virtuvesjums.lv/"",""https://laurasmebeles.lv/"",""https://www.modernasmebeles.lv/blogs/kapec-izveleties-virtuves-mebeles-pec-pasutijuma"",""https://www.seldedze.lv/virtuves"",""https://alanmebeles.lv/"",""https://up-mebeles.lv/virtuves-iekartas/"",""https://srmebeles.lv/virtuves-mebeles-pec-pasutijuma/"",""https://virtuvesskapisi.lv/virtuve-pec-pasutijuma-5-soli-ka-to-izdarit/"",""https://getapro.lv/category/virtuves-iekartas-pec-pasutijumu"",""https://mkvirtuves.lv/""]","[""service"",""service"",""article"",""service"",""service"",""service"",""service"",""article"",""marketplace"",""service"",""local_pack""]",G1-core-custom-kitchen,Same visitor need as the plural form. Seven of ten organic URLs overlap with “virtuves pēc pasūtījuma” (70%). Direct providers dominate and a local pack is present.,2026-07-29T14:00:00+00:00
virtuves uz pasūtījumu,virtuves pēc pasūtījuma,seed expansion; DataForSEO metric row unavailable in captured batch,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),90,"{""monthly"":-25,""quarterly"":-25,""yearly"":-25}",3.36,1,transactional,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves mēbeles pēc pasūtījuma,virtuves mēbeles pēc pasūtījuma,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),90,"{""monthly"":-18,""quarterly"":-18,""yearly"":29}",2.07,,transactional,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves iekārtas pēc pasūtījuma,virtuves iekārtas pēc pasūtījuma,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),90,"{""monthly"":-36,""quarterly"":-22,""yearly"":-22}",2.85,,transactional,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves izgatavošana,virtuves izgatavošana,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty; SERP Organic Live Advanced,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),90,"{""monthly"":29,""quarterly"":80,""yearly"":200}",0.94,,informational,,,"[""santasmebeles.lv"",""laurasmebeles.lv"",""virtuvesjums.lv"",""idmebeles.lv"",""mebeles1.lv"",""gintaromebeles.lv"",""mkvirtuves.lv"",""virtuvesdizains.lv"",""ripo.eu"",""alanmebeles.lv""]","[""https://santasmebeles.lv/piedavajam/virtuves-iekartas/"",""https://laurasmebeles.lv/"",""https://virtuvesjums.lv/"",""https://www.idmebeles.lv/virtuves-iekartas/"",""https://www.mebeles1.lv/virtuves-un-edamistabas-mebeles/"",""https://gintaromebeles.lv/virtuve/virtuves-komplekti"",""https://mkvirtuves.lv/"",""https://virtuvesdizains.lv/"",""https://www.ripo.eu/kitchen-calculator"",""https://alanmebeles.lv/""]","[""service"",""service"",""service"",""retailer"",""retailer"",""retailer"",""service"",""service"",""calculator"",""service"",""local_pack""]",G2-manufacture-mixed,"Mixed commercial SERP: direct custom providers rank alongside furniture retailers, a price calculator and a local pack. Only four of ten URLs overlap with the core plural custom-kitchen SERP (40%).",2026-07-29T14:00:00+00:00
virtuves iekārtas izgatavošana,competitor ranked keyword,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),70,"{""quarterly"":-50,""yearly"":100}",1.11,,transactional,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves mēbeļu izgatavošana,competitor ranked keyword,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),70,"{""yearly"":-50}",2.47,,transactional,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
iebūvējamās virtuves,iebūvējamās virtuves,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),70,"{""quarterly"":-20,""yearly"":-20}",0.71,,transactional,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
iebūvējamās virtuves iekārtas,iebūvējamās virtuves iekārtas,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),70,"{""monthly"":100,""quarterly"":-33,""yearly"":-50}",0.48,,transactional,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
