resolved_location_name,resolved_location_code,resolved_language_name,resolved_language_code,keyword,current_position,current_ranking_url,search_volume,available_monthly_trend,CPC,paid_competition,paid_competition_level,organic_keyword_difficulty,detected_intent,relevant_SERP_features,relevant_competitor_domains,competitor_type,commercially_useful_for_verified_business,source_endpoint,data_update_timestamp
Latvia,2428,Latvian,lv,virtuves pēc pasūtījuma,,,90.0,"{""2026-06"": 210, ""2026-05"": 110, ""2026-04"": 110, ""2026-03"": 90, ""2026-02"": 90, ""2026-01"": 70, ""2025-12"": 40, ""2025-11"": 40, ""2025-10"": 70, ""2025-09"": 50, ""2025-08"": 70, ""2025-07"": 50}",3.6,0.49,MEDIUM,,transactional,organic; local_pack; images; related_searches,virtuvesjums.lv; laurasmebeles.lv; alanmebeles.lv; srmebeles.lv; mkvirtuves.lv; up-mebeles.lv; rmebeles.lv; abvirtuves.lv; mebelesjums.lv; santasmebeles.lv; profurnitura.lv; 4istabas.lv; skandinavuvirtuves.lv; seldedze.lv; getapro.lv; abc.lv,mixed: direct custom-kitchen providers; marketplace; publisher,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty; SERP Organic Live Advanced,2026-07-15 22:23:29 +00:00
Latvia,2428,Latvian,lv,virtuve pēc pasūtījuma,,,90.0,"{""2026-06"": 210, ""2026-05"": 110, ""2026-04"": 110, ""2026-03"": 90, ""2026-02"": 90, ""2026-01"": 70, ""2025-12"": 40, ""2025-11"": 40, ""2025-10"": 70, ""2025-09"": 50, ""2025-08"": 70, ""2025-07"": 50}",3.6,0.49,MEDIUM,3.0,transactional,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-14 01:43:17 +00:00
Latvia,2428,Latvian,lv,virtuves mēbeles pēc pasūtījuma,,,90.0,"{""2026-06"": 90, ""2026-05"": 110, ""2026-04"": 110, ""2026-03"": 140, ""2026-02"": 140, ""2026-01"": 140, ""2025-12"": 70, ""2025-11"": 70, ""2025-10"": 110, ""2025-09"": 90, ""2025-08"": 70, ""2025-07"": 70}",2.07,0.6,MEDIUM,,transactional,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-13 07:25:37 +00:00
Latvia,2428,Latvian,lv,virtuves iekārtas pēc pasūtījuma,,,90.0,"{""2026-06"": 70, ""2026-05"": 110, ""2026-04"": 90, ""2026-03"": 140, ""2026-02"": 140, ""2026-01"": 110, ""2025-12"": 50, ""2025-11"": 70, ""2025-10"": 110, ""2025-09"": 90, ""2025-08"": 90, ""2025-07"": 70}",2.85,0.38,MEDIUM,,transactional,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-12 18:00:13 +00:00
Latvia,2428,Latvian,lv,virtuves izgatavošana,,,90.0,"{""2026-06"": 90, ""2026-05"": 70, ""2026-04"": 50, ""2026-03"": 50, ""2026-02"": 70, ""2026-01"": 50, ""2025-12"": 70, ""2025-11"": 70, ""2025-10"": 90, ""2025-09"": 390, ""2025-08"": 40, ""2025-07"": 20}",0.94,0.73,HIGH,,informational,local_pack; organic; images; related_searches,santasmebeles.lv; laurasmebeles.lv; virtuvesjums.lv; mkvirtuves.lv; virtuvesdizains.lv; alanmebeles.lv; up-mebeles.lv; virtuves.lv; profurnitura.lv; seldedze.lv; rsmebeles.lv; idmebeles.lv; mebeles1.lv; gintaromebeles.lv; ripo.eu; getapro.lv; abc.lv,mixed: direct custom-kitchen providers; retailer; marketplace; publisher,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty; SERP Organic Live Advanced,2026-07-13 02:53:31 +00:00
Latvia,2428,Latvian,lv,iebūvējamās virtuves,,,70.0,"{""2026-06"": 40, ""2026-05"": 40, ""2026-04"": 50, ""2026-03"": 70, ""2026-02"": 50, ""2026-01"": 90, ""2025-12"": 50, ""2025-11"": 90, ""2025-10"": 90, ""2025-09"": 170, ""2025-08"": 70, ""2025-07"": 70}",0.71,0.7,HIGH,,transactional,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-16 04:37:48 +00:00
Latvia,2428,Latvian,lv,iebūvējamās virtuves iekārtas,,,70.0,"{""2026-06"": 20, ""2026-05"": 10, ""2026-04"": 30, ""2026-03"": 50, ""2026-02"": 30, ""2026-01"": 70, ""2025-12"": 30, ""2025-11"": 40, ""2025-10"": 40, ""2025-09"": 390, ""2025-08"": 50, ""2025-07"": 50}",0.48,0.52,MEDIUM,,transactional,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-16 00:10:47 +00:00
Latvia,2428,Latvian,lv,virtuves cenas,,,50.0,"{""2026-06"": 30, ""2026-05"": 20, ""2026-04"": 10, ""2026-03"": 20, ""2026-02"": 20, ""2026-01"": 20, ""2025-12"": 30, ""2025-11"": 10, ""2025-10"": 40, ""2025-09"": 390, ""2025-08"": 10, ""2025-07"": 10}",0.38,0.33,LOW,,informational,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-11 15:31:53 +00:00
Latvia,2428,Latvian,lv,virtuves pēc pasūtījuma cenas,,,,,,,,,,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,cik maksā virtuves iekārta,,,40.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 10, ""2026-03"": 20, ""2026-02"": 20, ""2026-01"": 20, ""2025-12"": 20, ""2025-11"": 20, ""2025-10"": 40, ""2025-09"": 260, ""2025-08"": 20, ""2025-07"": 20}",0.47,0.67,HIGH,,commercial,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-15 19:40:52 +00:00
