resolved_location_name,resolved_location_code,resolved_language_name,resolved_language_code,domain,competitor_type,live_SERP_evidence,prompt_2_priority
Latvia,2428,Latvian,lv,virtuvesjums.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,laurasmebeles.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,srmebeles.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,mkvirtuves.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,up-mebeles.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,alanmebeles.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,santasmebeles.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,profurnitura.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,virtuves.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,seldedze.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,abvirtuves.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,mebelesjums.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,4istabas.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,skandinavuvirtuves.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,virtuvesdizains.lv,direct custom-kitchen provider,virtuves pēc pasūtījuma and/or virtuves izgatavošana,high
Latvia,2428,Latvian,lv,getapro.lv,marketplace,broad custom-kitchen and manufacture SERPs,medium
Latvia,2428,Latvian,lv,modernasmebeles.lv,publisher/adjacent provider,broad/manufacture SERPs,medium
Latvia,2428,Latvian,lv,abc.lv,publisher/adjacent provider,broad/manufacture SERPs,medium
Latvia,2428,Latvian,lv,ikea.com,retailer/marketplace,virtuves skapīši,adjacent-only
Latvia,2428,Latvian,lv,idmebeles.lv,retailer/marketplace,virtuves skapīši,adjacent-only
Latvia,2428,Latvian,lv,220.lv,retailer/marketplace,virtuves skapīši,adjacent-only
Latvia,2428,Latvian,lv,optimus.lv,retailer/marketplace,virtuves skapīši,adjacent-only
Latvia,2428,Latvian,lv,gintaromebeles.lv,retailer/marketplace,virtuves skapīši,adjacent-only
Latvia,2428,Latvian,lv,bigbox.lv,retailer/marketplace,virtuves skapīši,adjacent-only
Latvia,2428,Latvian,lv,24a.lv,retailer/marketplace,virtuves skapīši,adjacent-only
Latvia,2428,Latvian,lv,depo.lv,retailer/marketplace,virtuves skapīši,adjacent-only
Latvia,2428,Latvian,lv,ksenukai.lv,retailer/marketplace,virtuves skapīši,adjacent-only
Latvia,2428,Latvian,lv,1a.lv,retailer/marketplace,virtuves skapīši,adjacent-only
