keyword,originating_seed,originating_competitor_domain_page,competitor_type,source_endpoint,resolved_location_name,resolved_location_code,resolved_language_name,resolved_language_code,search_volume,monthly_trend,CPC,paid_competition,paid_competition_level,organic_keyword_difficulty,detected_intent,current_domain_position,current_ranking_URL,business_fit_note,exclusion_flag,exclusion_reason,data_update_timestamp
priedes koka virtuves skapīši,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,standalone retail cabinets/material-specific retail; no verified retail catalogue,2026-07-29
virtuves skapīši ss lv,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,marketplace/used-retail navigation; no verified retail catalogue,2026-07-29
stūra virtuves komplekts,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,ready-made retail kitchen set intent,2026-07-29
koka virtuves galds,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,table retail excluded,2026-07-29
virtuves trauki komplekti,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,accessory/tableware retail excluded,2026-07-29
virtuves trauku komplekti,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,accessory/tableware retail excluded,2026-07-29
virtuves virsmas cenas,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,standalone worktop retail/material pricing not verified,2026-07-29
virtuves galdu komplekti,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,table/chair retail excluded,2026-07-29
bernu virtuves komplekti,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,toy/children kitchen retail; unrelated,2026-07-29
cepeškrāsnis iebūvējamās,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,appliance retail excluded,2026-07-29
virtuves darba virsmas,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,standalone worktop retail not verified,2026-07-29
virtuves darba virsma,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,standalone worktop retail not verified,2026-07-29
ātrā pases izgatavošana,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,unrelated query caused by lexical overlap,2026-07-29
virtuves komplekti no polijas,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,ready-made/import retail set intent,2026-07-29
lietotas virtuves iekartas,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,used kitchen equipment/retail; not complete tailored service,2026-07-29
bērnu virtuves,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,toy/children kitchen retail; unrelated,2026-07-29
profesionālie virtuves naži,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,commercial accessory retail excluded,2026-07-29
moduļu virtuves,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,modular/ready-made retail intent conflicts with verified tailored service,2026-07-29
stūra izlietne virtuvei,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,tap/sink/accessory retail excluded,2026-07-29
mazās iebūvējamās cepeškrāsnis,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,appliance retail excluded,2026-07-29
tolmets jekabpils cenas,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,unrelated query,2026-07-29
omniva jelgava,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,unrelated navigational query,2026-07-29
pepper jelgava,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,unrelated navigational query,2026-07-29
tukums jelgava,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,unrelated location/navigation query,2026-07-29
plūdi jelgavā,DataForSEO keyword ideas batch,,"retailer/marketplace, publisher or other as applicable",DataForSEO Labs Google Keyword Ideas; request id 07291352-1514-0400-0000-926983228a6c,Latvia,2428,Latvian,lv,,,,,,,,,,Conflicts with verified business boundary.,True,unrelated informational query,2026-07-29
