keyword,originating_seed,source,reason_for_prompt_3_validation,resolved_location_name,resolved_location_code,resolved_language_name,resolved_language_code
virtuves pēc pasūtījuma,virtuves pēc pasūtījuma,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty; SERP Organic Live Advanced,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuve pēc pasūtījuma,virtuve pēc pasūtījuma,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves uz pasūtījumu,virtuves pēc pasūtījuma,seed expansion; DataForSEO metric row unavailable in captured batch,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves mēbeles pēc pasūtījuma,virtuves mēbeles pēc pasūtījuma,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves iekārtas pēc pasūtījuma,virtuves iekārtas pēc pasūtījuma,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves izgatavošana,virtuves izgatavošana,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty; SERP Organic Live Advanced,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves iekārtas izgatavošana,competitor ranked keyword,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves mēbeļu izgatavošana,competitor ranked keyword,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
iebūvējamās virtuves,iebūvējamās virtuves,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
iebūvējamās virtuves iekārtas,iebūvējamās virtuves iekārtas,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
iebūvējamās virtuves cenas,competitor ranked keyword,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,High-value quote/consultation or price intent; validate commercial SERP and cannibalization.,Latvia,2428,Latvian,lv
virtuves dizains,virtuves dizains,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves projektēšana,virtuves projektēšana,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves plānošana,virtuves plānošana,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
funkcionāls virtuves plānojums,virtuves plānošana,seed expansion; DataForSEO metric row unavailable in captured batch,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves konsultācija,virtuves konsultācija,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,High-value quote/consultation or price intent; validate commercial SERP and cannibalization.,Latvia,2428,Latvian,lv
virtuves tāme,virtuves tāme,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,High-value quote/consultation or price intent; validate commercial SERP and cannibalization.,Latvia,2428,Latvian,lv
virtuves cenas aprēķins,outcomes,seed expansion; DataForSEO metric row unavailable in captured batch,High-value quote/consultation or price intent; validate commercial SERP and cannibalization.,Latvia,2428,Latvian,lv
virtuves piegāde un uzstādīšana,delivery_install,seed expansion; DataForSEO metric row unavailable in captured batch,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves izgatavošana un uzstādīšana,delivery_install,seed expansion; DataForSEO metric row unavailable in captured batch,Validate live SERP and overlap with existing mapped page; do not assume a separate page.,Latvia,2428,Latvian,lv
virtuves uzstādīšanas cena,delivery_install,seed expansion; DataForSEO metric row unavailable in captured batch,High-value quote/consultation or price intent; validate commercial SERP and cannibalization.,Latvia,2428,Latvian,lv
stūra virtuves,stūra virtuves,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Configuration hypothesis; validate whether SERP supports a distinct commercial intent or an existing-page section.,Latvia,2428,Latvian,lv
L veida virtuve,konfigurācijas,seed expansion; DataForSEO metric row unavailable in captured batch,Configuration hypothesis; validate whether SERP supports a distinct commercial intent or an existing-page section.,Latvia,2428,Latvian,lv
U veida virtuve,U veida virtuve,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Configuration hypothesis; validate whether SERP supports a distinct commercial intent or an existing-page section.,Latvia,2428,Latvian,lv
virtuve ar salu,virtuve ar salu,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Configuration hypothesis; validate whether SERP supports a distinct commercial intent or an existing-page section.,Latvia,2428,Latvian,lv
virtuves sala,competitor ranked keyword,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,Configuration hypothesis; validate whether SERP supports a distinct commercial intent or an existing-page section.,Latvia,2428,Latvian,lv
virtuve ar pussalu,virtuve ar pussalu,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Configuration hypothesis; validate whether SERP supports a distinct commercial intent or an existing-page section.,Latvia,2428,Latvian,lv
vienas sienas virtuve,vienas sienas virtuve,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Configuration hypothesis; validate whether SERP supports a distinct commercial intent or an existing-page section.,Latvia,2428,Latvian,lv
paralēla virtuve,konfigurācijas,seed expansion; DataForSEO metric row unavailable in captured batch,Configuration hypothesis; validate whether SERP supports a distinct commercial intent or an existing-page section.,Latvia,2428,Latvian,lv
gaiteņa tipa virtuve,gaiteņa tipa virtuve,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Configuration hypothesis; validate whether SERP supports a distinct commercial intent or an existing-page section.,Latvia,2428,Latvian,lv
virtuve mazam dzīvoklim,situācijas,seed expansion; DataForSEO metric row unavailable in captured batch,Residential-situation hypothesis; validate before treating as a separate service/page.,Latvia,2428,Latvian,lv
virtuves iekārtas hruščovkām,virtuves iekārtas hruščovkām,seed expansion,Residential-situation hypothesis; validate before treating as a separate service/page.,Latvia,2428,Latvian,lv
virtuve privātmājai,virtuve privātmājai,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Residential-situation hypothesis; validate before treating as a separate service/page.,Latvia,2428,Latvian,lv
virtuve jaunbūvei,virtuve jaunbūvei,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Residential-situation hypothesis; validate before treating as a separate service/page.,Latvia,2428,Latvian,lv
atvērta plānojuma virtuve,atvērta plānojuma virtuve,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Residential-situation hypothesis; validate before treating as a separate service/page.,Latvia,2428,Latvian,lv
virtuves pēc pasūtījuma Rīga,virtuves pēc pasūtījuma + verified location,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),"Limited verified-location sample; no overview row was returned, so live SERP evidence is required.",Latvia,2428,Latvian,lv
